,Date,Open,High,Low,Close,Volume,Market Cap
197,2022-03-05,2.98987955081e-09,2.98987955081e-09,2.80586988332e-09,2.88320119809e-09,15898.53,0
198,2022-03-04,3.24721662725e-09,3.25493075701e-09,2.94350975016e-09,2.98987955081e-09,8702.49,0
199,2022-03-03,3.30735557737e-09,3.35966101961e-09,3.21324237343e-09,3.24721662725e-09,1982.64,0
200,2022-03-02,3.28983177186e-09,3.37538055777e-09,3.26240212693e-09,3.30735557737e-09,12156.74,0
201,2022-03-01,3.15914886936e-09,3.36734993488e-09,3.10133506258e-09,3.28983177186e-09,15846.16,0
202,2022-02-28,2.88940248606e-09,3.17408510614e-09,2.85906440029e-09,3.15914886936e-09,12132.53,0
203,2022-02-27,3.09361248736e-09,3.19539253906e-09,2.88175132006e-09,2.88940248606e-09,14558.85,0
204,2022-02-26,2.98680922319e-09,3.22939235647e-09,2.98679580909e-09,3.09361248736e-09,15619.32,0
205,2022-02-25,2.63880327148e-09,3.00724770491e-09,2.63362457591e-09,2.98680922319e-09,19970.52,0
206,2022-02-24,2.87059145636e-09,2.87412897425e-09,2.35241659012e-09,2.63880327148e-09,33884.75,0
207,2022-02-23,3.55114211293e-09,3.57198836208e-09,2.79165258333e-09,2.87059145636e-09,25505.71,0
208,2022-02-22,3.44869546825e-09,3.55114211293e-09,3.3284145712e-09,3.55114211293e-09,8027.63,0
209,2022-02-21,3.80385318237e-09,3.94888828171e-09,3.43518162041e-09,3.44869546825e-09,7398.15,0
210,2022-02-20,3.94030083897e-09,3.94032035492e-09,3.73034107571e-09,3.80385318237e-09,12231.29,0
211,2022-02-19,4.2042060853e-09,4.31829971575e-09,3.89922621587e-09,3.94030083897e-09,15578.59,0
212,2022-02-18,4.42963923515e-09,4.45720829587e-09,4.16548580129e-09,4.2042060853e-09,13977.71,0
213,2022-02-17,4.77964157196e-09,4.83410583469e-09,4.42963923147e-09,4.42963923515e-09,17012.64,0
214,2022-02-16,4.98173340753e-09,5.03534610454e-09,4.66532421068e-09,4.77964157196e-09,9709.18,0
215,2022-02-15,4.65235471615e-09,7.71580884336e-09,4.65235471615e-09,4.98173340753e-09,25850.56,0
216,2022-02-14,4.7118279414e-09,4.75888818804e-09,4.38284559489e-09,4.65235471615e-09,13856.62,0
217,2022-02-13,4.81165845276e-09,4.8967099813e-09,4.69292503944e-09,4.7118279414e-09,6875.78,0
218,2022-02-12,4.94183731119e-09,4.99488145732e-09,4.77044544816e-09,4.81165845276e-09,7430.18,0
219,2022-02-11,5.10668049905e-09,5.21915778861e-09,4.87018430683e-09,4.94183731119e-09,16695.57,0
220,2022-02-10,5.64158673707e-09,5.82177838537e-09,5.09628513051e-09,5.10668049905e-09,30941.52,0
